mean_neighbors,total_edges,largest_comp,n_components,euler,PC1,PC2,kappa
1.1428571428571428,4,4,3,5,3.036916,0.44941622,36.850362186899474
0.8571428571428571,3,4,4,5,5.329943,1.8166858,37.147859118147565
1.75,7,7,2,3,3.9309595,0.247865,37.4383389844362
0.8571428571428571,3,3,4,6,-6.5575976,-1.2007107,37.735848255522015
1.0,3,3,3,5,-2.7605305,-0.8301629,38.02450821497071
0.5714285714285714,2,3,5,6,0.23367889,-0.431235,38.31237138002455
0.8571428571428571,3,3,4,7,4.144287,0.71562254,38.60873448214272
0.8571428571428571,3,4,4,8,0.7520414,-0.37349814,38.90586546423607
0.6666666666666666,2,3,4,7,6.5142064,0.7403085,39.19252537114963
0.6666666666666666,2,3,4,9,-2.343906,-0.5333201,39.4899321375471
1.1111111111111112,5,4,4,5,7.3840203,0.6579895,39.77556376510177
1.25,5,6,3,3,-0.69747794,-0.5537546,40.06775505401871
1.0,3,3,3,5,1.2657849,0.03409384,40.36638040874746
0.6666666666666666,2,3,4,8,2.0002186,0.7832658,40.666608930694984
0.6666666666666666,2,2,4,8,2.4708774,0.2116118,40.952713494679784
0.25,1,2,7,9,0.6280677,0.7128041,41.238028933740274
0.0,0,1,6,10,0.56038624,-0.056964565,41.530401971189335
0.3333333333333333,1,2,5,9,3.6963837,1.0298275,41.825508292174156
0.0,0,1,6,12,-3.6739168,-1.1569748,42.10454609010093
0.4,1,2,4,7,2.1926985,0.7876039,42.41126277015384
0.6666666666666666,2,3,4,5,0.5090774,-0.2659693,42.70751832305971
1.8,9,8,2,1,-4.188708,-1.3826982,42.992905245730746
0.8,2,2,3,6,-4.292251,-0.6094271,43.28541635711951
0.6666666666666666,2,2,4,4,4.5228696,0.6506769,43.577945730904986
1.0,3,3,3,5,-2.6934407,-0.7639823,43.8701559293543
0.3333333333333333,1,2,5,10,-3.6757765,-0.5466298,44.1623692435929
0.4,1,2,4,5,0.3607627,0.43326458,44.45586719543631
0.4,1,2,4,7,-0.8985282,0.038537003,44.75160690173254
0.4,1,2,4,6,2.649446,1.4618067,45.044423095241555
